# This data file contains the watershed characteristics derived
# from Asquith and Slade (1997) and a digital processing and 
# verification step conducted by colleagues at Texas Tech University
# in 2007.
#
# These watershed characteristics were used in multi-linear regression
# analysis described in Asquith and Roussel (2009).
#
# STATION = U.S. Geological Survey station identification number
# CDA = contributing drainage area in square miles
# MCS = dimensionless main-channel slope
# MAP = mean annual precipitation in inches
# YRS = years of record used
STATION,CDA,MCS,MAP,YRS
07153500,545,0.00947,16,33
07154400,111,0.0072,15.4,51
07154500,1038,0.00496,14,36
07154650,25.4,0.00691,15.5,22
07155000,1879,0.00398,16.5,12
07155100,11,0.00551,15.8,18
07157960,408,0.00242,23,28
07225000,55,0.00777,14.1,46
07225500,256,0.00833,15.6,12
07226300,68,0.00644,14.5,46
07226500,2060,0.00487,15,21
07227050,0.36,0.06818,16,46
07227100,786,0.0025,15,46
07227200,556,0.00473,16,36
07227295,1.25,0.01004,16,43
07227460,1.6,0.025,17,10
07227480,1.27,0.0134,18.5,8
07227920,134,0.00446,19,15
07232500,1175,0.0028,17,42
07232650,31,0.00436,15.6,12
07233000,767,0.00216,20,26
07233500,440,0.00193,17.5,35
07234150,4.03,0.00144,21,9
07234290,8.57,0.00657,21,20
07235700,17.8,0.00436,21.6,11
07237750,11.8,0.00725,24.6,21
07237800,139,0.00313,24.5,20
07295500,538,0.00184,15,14
07297910,930,0.00213,17,38
07298000,65,0.00202,17.5,31
07298150,2.2,0.00304,20,9
07298200,190,0.00259,18.6,9
07298500,1581,0.00208,18.5,11
07299200,2023,0.00206,18.5,17
07299300,139,0.00651,20,14
07299500,2524,0.00202,19.5,12
07299512,65.5,0.00321,21.2,8
07299540,2956,0.00197,19.5,41
07299570,3552,0.00187,20,23
07299575,0.16,0.01496,21,9
07299670,303,0.00194,22,44
07299890,74,0.00387,21,8
07299940,1.15,0.00927,21,8
07300000,1013,0.00317,21,15
07300150,7.24,0.00794,23,22
07300500,1357,0.00261,22.5,49
07301300,703,0.00182,20,41
07301410,267,0.00301,21.5,44
07301455,19.8,0.00335,23.8,18
07301480,9.12,0.00589,23.8,20
07301500,1938,0.00237,23,76
07303400,416,0.00367,23.2,31
07303450,27.8,0.00644,23,12
07303500,838,0.00267,23.2,28
07307500,35,0.00475,19.5,14
07307720,1.09,0.01243,21,8
07307800,2195,0.00307,20,41
07308000,2478,0.00259,20,23
07308200,2929,0.0022,20,44
07308220,4.99,0.00267,25,8
07309480,3.35,0.01119,31,11
07311200,24.6,0.00689,29.6,39
07311500,617,0.00161,28.1,56
07311600,540,0.00274,21.5,32
07311630,50.3,0.0025,22.5,8
07311700,937,0.00211,22,45
07311783,223,0.00306,21.8,20
07311790,499,0.00223,21.5,9
07311800,584,0.00182,22,45
07311900,1874,0.00143,22.5,19
07312140,3.43,0.00345,24,9
07312850,6.29,0.00799,29.9,22
07312950,35.4,0.00451,32.7,12
07313000,158,0.00229,32.5,15
07314200,0.1,0.00444,27,9
07314500,481,0.00103,27.5,14
07314900,1037,0.00106,27.1,13
07315200,178,0.00169,28,42
07315680,1.74,0.00958,33.4,21
07315700,572,0.00123,33,45
07315880,5.74,0.00822,34.8,10
07316140,12,0.00258,35.5,21
07316200,26,0.00314,36,8
07317500,5.16,0.01091,24,21
07318500,1.02,0.02784,24,11
07320000,2.87,0.01098,24,19
07321500,0.62,0.01782,24,14
07324000,5.33,0.0115,24,18
07332070,0.72,0.00674,40,10
07332400,203,0.00242,39.5,22
07332500,476,0.00113,39.5,69
07332600,72,0.00197,39,23
07332602,6.21,0.00405,39,9
07333500,32.7,0.00458,44.5,20
07335310,0.94,0.00428,44.8,21
07335320,16.6,0.00087,45.4,11
07336500,1423,0.00058,49,47
07336520,19.4,0.01091,49,22
07336710,3.39,0.00652,46.5,11
07336750,75.4,0.00124,45.5,12
07336780,7.53,0.00598,50,10
07336800,100,0.00104,46,16
07336940,3.33,0.00038,47,8
07339800,6.41,0.00903,51,26
07340200,10.6,0.00227,49,21
07340530,0.64,0.01146,50,24
07341100,9.48,0.00947,52,23
07341700,12.9,0.00331,51,20
07342350,169,0.00034,47,41
