# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
07153500,2683,6336,10452,18915,28300,40507,58322,65469,93274
07154400,1703,4364,6852,10781,14533,19125,24434,26353,33072
07154500,5765,13820,21258,33059,44055,57499,72997,78581,98060
07154650,1610,4061,5833,8047,9829,11579,13385,13982,15895
07155000,10410,15351,17340,19182,20132,20882,21497,21673,22166
07155100,88.23,407,853,1704,2615,3805,5676,6481,9665
07157960,1222,3939,6751,11568,16208,22393,30186,32942,42816
07225000,940,1835,2489,3329,3993,4648,5315,5533,6222
07225500,6351,9719,11489,13540,15113,16635,18133,18612,20103
07226300,419,753,987,1297,1541,1789,2047,2133,2408
07226500,12641,22714,30940,43696,55539,68435,83212,88441,106381
07227000,38421,82161,123125,183814,236619,305392,387615,417635,524002
07227050,179,331,454,635,790,964,1159,1226,1454
07227100,5351,9825,13892,20295,25904,33113,41796,44970,56214
07227200,828,2516,4238,7053,9940,13662,18190,19868,25921
07227295,45.92,125,199,310,406,532,684,740,937
07227460,91.15,433,951,1935,2998,4402,6563,7519,11354
07227480,7.37,22.51,45.19,94.48,152,236,360,417,660
07227500,32388,54459,72046,97660,119394,144152,171461,180935,212714
07227920,1287,2510,3214,3993,4594,5123,5574,5713,6125
07228000,31046,61205,83491,109996,132524,156314,181693,190256,218248
07232500,7590,18243,26815,39032,49375,61115,72904,76872,89811
07232650,202,725,1294,1995,2706,3641,4793,5221,6768
07233000,3046,7854,11717,17076,21665,27141,32507,34267,39984
07233500,2162,5227,8241,13365,18139,24522,32751,35860,46690
07234150,72.26,204,338,536,719,969,1281,1398,1823
07234290,147,430,771,1375,1900,2674,3768,4194,5823
07235700,433,1217,2158,4043,6046,8651,12512,14033,19958
07237750,504,1027,1378,1807,2115,2413,2705,2798,3086
07237800,2267,4287,5932,8158,10030,12206,14656,15512,18410
07295500,1644,4281,6812,10800,14719,19578,25277,27354,34696
07297910,8002,18122,27545,42910,56693,74840,96771,104451,131357
07298000,902,2550,4150,6701,9161,12251,15872,17191,21854
07298150,16.77,39.98,56.00,75.74,92.98,109,124,129,144
07298200,2149,4472,6784,10699,14572,19426,25588,27901,36342
07298500,23841,37749,46226,55144,61907,68422,74802,76841,82803
07299200,18880,34751,50852,78672,105154,140774,187770,205729,272671
07299300,2746,3388,3627,3832,3928,3998,4049,4063,4099
07299500,23702,39947,50283,62398,71559,79889,87912,90437,98128
07299512,412,954,1459,2131,2774,3569,4509,4850,6051
07299540,15085,30028,43503,64972,83966,108514,137389,147573,183021
07299570,20036,36087,48853,66609,81674,99068,118417,124920,146559
07299575,23.56,53.56,75.93,103,127,154,178,186,212
07299670,1793,4684,7530,12235,16547,22307,29696,32394,41486
07299890,209,569,931,1506,2019,2743,3664,4011,5291
07299940,73.16,110,135,165,190,214,238,246,271
07300000,17076,46249,76801,129703,181171,249944,339730,371628,486789
07300150,651,1656,2488,3692,4721,5814,6979,7383,8735
07300500,13554,26989,37742,52172,64173,77909,93223,98539,115781
07301300,3846,7727,11095,16360,21031,26630,33091,35397,43358
07301410,455,954,1340,1876,2314,2774,3265,3430,3968
07301455,1084,2028,2559,3124,3487,3810,4107,4198,4468
07301480,431,944,1388,2045,2669,3375,4181,4467,5452
07301500,6260,12923,18450,26734,34317,42683,52115,55424,66661
07303400,4104,10278,16878,29045,42449,60754,85371,94799,130535
07303450,947,1705,2220,2865,3355,3831,4305,4458,4933
07303500,8022,15950,21574,28795,34680,40320,45974,47808,53581
07307500,913,1989,3125,5241,7393,10317,14463,16014,21802
07307720,471,782,928,1096,1207,1302,1383,1408,1475
07307800,5698,10989,14966,20365,24704,29185,33879,35439,40455
07308000,39714,64156,79646,99157,113306,127032,140644,145021,158647
07308200,9858,19278,26085,34161,40930,48020,55523,58042,65596
07308220,306,631,908,1304,1708,2170,2685,2868,3504
07308500,27433,53795,77622,116189,150963,195183,246639,265271,330534
07309480,1080,1816,2129,2442,2610,2749,2868,2903,3003
07311200,1691,3691,5467,8260,10732,13762,17197,18418,22616
07311500,7151,15906,24552,39602,54257,73526,97513,106497,139157
07311600,2238,5287,7927,11846,15244,19494,24485,26282,32102
07311630,404,613,880,1415,2009,2816,4085,4627,6774
07311700,3791,8301,12730,20381,27469,36972,49245,53895,70545
07311783,621,1630,2956,5975,9584,14664,22615,26159,40943
07311790,841,1579,2126,2857,3463,4093,4769,4998,5748
07311800,2856,5617,8325,12651,16378,21400,27583,29878,38157
07311900,9129,14423,18056,22552,26152,29773,33381,34555,38250
07312140,185,368,485,616,723,831,931,962,1057
07312850,761,1859,2751,3997,5026,6127,7304,7703,9010
07312950,780,1876,3048,5183,7453,10488,14801,16509,23053
07313000,14221,30282,40986,52894,62815,72860,83208,86623,97539
07314200,77.34,137,183,243,294,350,413,435,507
07314500,2829,6262,10055,16705,23220,31864,44065,48783,66645
07314900,2859,4746,5884,7142,8082,8914,9689,9929,10652
07315200,1518,5125,9374,17121,24804,34789,49833,55736,78449
07315680,565,1118,1498,1967,2350,2743,3119,3239,3610
07315700,6011,15425,24387,38331,50686,67107,87283,94753,121099
07315880,1959,2175,2258,2331,2366,2392,2412,2417,2431
07316140,2866,5557,7752,10964,13826,16989,20495,21715,25826
07316200,1979,2257,2329,2395,2421,2439,2452,2455,2464
07317500,440,1094,1738,2706,3542,4669,6038,6544,8355
07318500,294,647,922,1258,1560,1892,2257,2383,2804
07320000,797,1311,1568,1821,1972,2101,2214,2248,2346
07321500,347,725,1044,1508,1939,2419,2968,3161,3817
07324000,1129,2410,3379,4550,5577,6681,7880,8289,9641
07332070,365,672,947,1327,1664,2077,2559,2731,3332
07332400,9599,18531,25160,34030,41359,48703,56303,58814,66836
07332500,9035,17501,24894,36426,46445,58902,72884,77845,94870
07332600,9131,12759,14436,16288,17374,18325,19177,19435,20192
07332602,2668,3050,3149,3225,3254,3273,3287,3291,3301
07333500,7869,11207,12948,14918,16142,17253,18282,18599,19551
07335310,285,435,511,588,637,677,713,723,753
07335320,3722,5234,5780,6252,6481,6655,6794,6832,6939
07335500,80702,162907,240184,362222,472157,616219,793170,858582,1093072
07336500,34071,48988,58499,69478,77825,85900,93626,96087,103670
07336520,2640,4704,6116,7713,9017,10335,11692,12140,13570
07336710,777,1189,1475,1806,2076,2351,2636,2730,3033
07336750,5587,11437,17141,26877,36309,48594,63901,69642,90550
07336780,2101,3083,3730,4548,5221,5857,6508,6722,7402
07336800,3999,7579,10525,15016,19426,24368,29951,31940,38808
07336940,98.92,157,195,241,277,314,349,360,395
07339800,1089,2381,3406,4859,6084,7357,8722,9185,10720
